"Timestamp","If you would like to continue , please confirm the agreement and check the box below. [I hereby agree to provide honest, precise and complete information to the survey.]","Gender ","Completed age","Your current address (district only)"," Education ","Your occupation.","How long have you been using mobile payment service of the Company?","Do you agree or disagree with the following statements. [Generally I've a positive view in technology.]","Do you agree or disagree with the following statements. [I'm a technology friendly.]","Do you agree or disagree with the following statements. [When using technology, I often feel overwhelmed.]","Do you agree or disagree with the following statements. [I don't trust technology]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Mobile payment services are Easy to use.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Requires fewer step to accomplish the transaction.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Easy and quick recovery from mistake.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease to integrate with bank accounts.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease of personal details verification.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Cost of using Mobile Payment services is reasonable.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Feeling superiority of using services.]","Please check the box based on your experience on value investment in mobile payment service of the company. [The use of Mobile payment service is a good deal.]","Please check the box on your experience on customer support part. [Customer support in resolving your issues is good.]","Please check the box on your experience on customer support part. [Customer support team answer your inquiry promptly.]","Please check the box on your experience on customer support part. [Customer service agents are polite.]","Please check the box on your experience on customer support part. [Customer service opening hour is convenient.]","Please check the box on your experience on customer support part. [Customer service agents are friendly]","Please check the box on your experience on security part. [Wallet payment is fully secure.]","Please check the box on your experience on security part. [Confidence on transaction is high and identical to the cash transaction.]","Please check the box on your experience on security part. [Statement provided by the company is thorough and accurate.]","Please check the box on your experience on security part. [Mobile payment service is fully reliable.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a dynamic company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a creative company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is an innovative company.]","Please check the box based on your experience towards the speed. [Fund transfer time is very quick.]","Please check the box based on your experience towards the speed. [Initial log in period is much quicker.]","Please check the box based on your experience towards the speed. [Fund loading from the bank takes very low time. ]","How likely are you to  [Use mobile payment service with us again.]","How likely are you to  [Recommend our payment service to others.]","How likely are you to  [Recommend our company to others.]","How likely are you to  [Favour in the future.]","After the use of mobile payment services of F1 Soft  [I learned a lot from using mobile payment service of the F1 Soft.]","After the use of mobile payment services of F1 Soft  [Makes me feel good]","After the use of mobile payment services of F1 Soft  [Makes me feel enthusiastic.]","After the use of mobile payment services of F1 Soft  [I consider myself as a member of users of F1 Soft service.]","Use of mobile payment service of F1 Soft is fully satisfying.","On a scale of 1 to 100 please rate your overall level of satisfaction on using mobile payment service of the company."
"2022/04/30 7:02:17 AM GMT+5:45","agree","Female","40","Lalitpur","Bachelor","Service","3 months to 6 months","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","85"
"2022/04/30 1:00:55 PM GMT+5:45","agree","male","20","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Neutral","Very likely","Very likely","Somewhat likely","Very likely","Neutral","Agree","Agree","Agree","Yes","80"
"2022/04/30 2:28:33 PM GMT+5:45","agree","male","25","Kathmandu","Bachelor","Industry","2 years more","Somewhat agree","Strongly agree","Neutral","Somewhat disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","75"
"2022/04/30 3:05:26 PM GMT+5:45","agree","male","35","Lalitpur","Masters and above","Service","2 years more","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Very likely","Likely","Likely","Likely","Agree","Strongly Agree","Strongly Agree","Agree","Yes","80"
"2022/04/30 5:54:13 PM GMT+5:45","agree","male","40","Chitwan","Bachelor","Business","7 months to 12 months","Strongly disagree","Strongly disagree","Somewhat disagree","Neutral","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Strongly Agree","Yes","76"
"2022/04/30 7:59:48 PM GMT+5:45","agree","male","50","Jhapa","Bachelor","Other","Less than 3 months","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Agree","Agree","Agree","Neutral","Yes","85"
"2022/05/01 8:16:11 AM GMT+5:45","agree","male","30","Kathmandu","Bachelor","Business","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Likely","Very likely","Somewhat likely","Likely","Strongly Agree","Agree","Agree","Strongly Agree","Yes","80"
"2022/05/01 8:19:21 AM GMT+5:45","agree","male","38","Jhapa","Masters and above","Service","13 months to 2 years","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Neutral","Agree","Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Neutral","Disagree","Disagree","Disagree","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Neutral","Agree","Agree","Agree","No","30"
"2022/05/01 9:12:57 AM GMT+5:45","agree","male","28","Kathmandu","Bachelor","Service","2 years more","Strongly agree","Strongly agree","Somewhat agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","50"
"2022/05/01 9:22:33 AM GMT+5:45","agree","male","25","Bhaktapur","Bachelor","Student","2 years more","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Strongly Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Somewhat likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","53"
"2022/05/01 10:01:43 AM GMT+5:45","agree","male","30","Kathmandu","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Very likely","Likely","Somewhat likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","80"
"2022/05/01 11:50:22 AM GMT+5:45","agree","male","41","Bhaktapur","Masters and above","Other","13 months to 2 years","Strongly agree","Strongly agree","Somewhat agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Somewhat likely","Somewhat likely","Likely","Agree","Agree","Agree","Agree","Yes","70"
"2022/05/01 4:30:25 PM GMT+5:45","agree","male","32","Jhapa","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","","Strongly Agree","Strongly Agree","Yes","80"
"2022/05/01 9:00:09 PM GMT+5:45","agree","Female","27","Kathmandu","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Neutral","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","80"
"2022/05/02 4:44:34 AM GMT+5:45","agree","male","37","Kathmandu","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Likely","Very likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","40"
"2022/05/02 3:56:59 PM GMT+5:45","agree","male","36","Kaski","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Neutral","Strongly disagree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Likely","Somewhat likely","Somewhat likely","Likely","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Yes","80"
"2022/05/02 4:14:33 PM GMT+5:45","agree","Female","30","Kaski","Bachelor","Other","3 months to 6 months","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Likely","Somewhat likely","Somewhat likely","Likely","Neutral","Agree","Agree","Agree","Yes","4"
"2022/05/02 4:17:49 PM GMT+5:45","agree","Female","19","Banke","Bachelor","Student","3 months to 6 months","Somewhat agree","Neutral","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Likely","Very likely","Likely","Very likely","Neutral","Agree","Agree","Neutral","Yes","70"
"2022/05/02 4:31:26 PM GMT+5:45","agree","Female","20","Bardiya","Bachelor","Student","2 years more","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Very likely","Very likely","Likely","Likely","Strongly Agree","Agree","Neutral","Agree","Yes","80"
"2022/05/02 4:37:40 PM GMT+5:45","agree","Female","20","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Likely","Likely","Likely","Likely","Disagree","Neutral","Neutral","Neutral","Yes","90"
"2022/05/02 4:40:34 PM GMT+5:45","agree","Female","22","Kathmandu","Bachelor","Student","3 months to 6 months","Strongly agree","Neutral","Neutral","Somewhat disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Very likely","Very likely","Very likely","Very likely","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Yes","85"
"2022/05/02 4:45:33 PM GMT+5:45","agree","male","32","Kaski","Bachelor","Service","13 months to 2 years","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","75"
"2022/05/02 4:55:30 PM GMT+5:45","agree","male","32","Kaski","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/05/02 5:00:59 PM GMT+5:45","agree","male","35","Kathmandu","Bachelor","Service","3 months to 6 months","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Agree","Disagree","Disagree","Agree","Neutral","Disagree","Strongly Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Disagree","Very likely","Very likely","Likely","","Agree","Agree","Neutral","Agree","Yes","85"
"2022/05/02 5:06:03 PM GMT+5:45","agree","male","52","Kathmandu","Masters and above","Service","2 years more","Strongly agree","Somewhat agree","Somewhat agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Likely","Likely","Somewhat likely","Likely","Agree","Agree","Agree","Agree","Yes","75"
"2022/05/02 5:18:30 PM GMT+5:45","agree","male","40","Dang","Masters and above","Other","2 years more","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Somewhat likely","Unlikely","Somewhat likely","Unlikely","Neutral","Neutral","Disagree","Disagree","Yes","78"
"2022/05/02 7:08:26 PM GMT+5:45","agree","Female","18","Parsa","Bachelor","Student","13 months to 2 years","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Very likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Agree","Yes","7.5"
"2022/05/02 9:11:00 PM GMT+5:45","agree","male","21","Bhaktapur","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Very likely","Likely","Likely","Very likely","Agree","Agree","Agree","Agree","Yes","90"
"2022/05/03 8:42:38 AM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","13 months to 2 years","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Neutral","Disagree","Somewhat likely","Unlikely","Unlikely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","60"
"2022/05/03 9:41:20 AM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","50"
"2022/05/03 12:52:57 PM GMT+5:45","agree","male","21","Lalitpur","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","1"
"2022/05/03 12:53:38 PM GMT+5:45","agree","male","19","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Strongly agree","Neutral","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Somewhat likely","Unlikely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","80"
"2022/05/03 12:54:31 PM GMT+5:45","agree","male","20","Lalitpur","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Neutral","Somewhat agree","Agree","Disagree","Strongly Disagree","Agree","Neutral","Disagree","Agree","Strongly Agree","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Somewhat likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","70"
"2022/05/03 12:54:43 PM GMT+5:45","agree","Female","20","Bhaktapur","Bachelor","Student","13 months to 2 years","Neutral","Strongly agree","Somewhat agree","Neutral","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Agree","Neutral","Agree","Likely","Likely","Likely","Somewhat likely","Neutral","Agree","Disagree","Neutral","Yes","80"
"2022/05/03 12:55:09 PM GMT+5:45","agree","Female","18","Lalitpur","Bachelor","Student","2 years more","Neutral","Somewhat disagree","Somewhat disagree","Strongly disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Likely","Likely","Somewhat likely","Likely","","","","","Yes","70"
"2022/05/03 12:56:19 PM GMT+5:45","agree","male","21","Lalitpur","Plus 2 / Intermediate","Student","3 months to 6 months","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Yes","99"
"2022/05/03 12:57:25 PM GMT+5:45","agree","Female","20","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Neutral","Neutral","Somewhat agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Agree","Neutral","Neutral","Neutral","Yes","40"
"2022/05/03 1:00:20 PM GMT+5:45","agree","Female","20","Lalitpur","Bachelor","Student","Less than 3 months","Neutral","Strongly agree","Strongly agree","Somewhat disagree","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Disagree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Somewhat likely","Somewhat likely","Likely","Likely","Strongly Agree","Agree","Agree","Agree","Yes","90"
"2022/05/03 1:03:35 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Neutral","Somewhat agree","Strongly Agree","Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Very likely","Likely","Very likely","Likely","Agree","","Strongly Agree","Neutral","Yes","80"
"2022/05/03 1:05:10 PM GMT+5:45","agree","male","22","Siraha","Bachelor","Student","Less than 3 months","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Likely","Likely","Likely","Likely","Neutral","Neutral","Disagree","Agree","Yes","70"
"2022/05/03 1:13:57 PM GMT+5:45","agree","Female","19","Bhaktapur","Bachelor","Student","Less than 3 months","Neutral","Neutral","Neutral","Strongly disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Somewhat likely","Somewhat likely","Very likely","Very likely","Agree","Strongly Agree","Agree","Neutral","Yes","80"
"2022/05/03 1:33:15 PM GMT+5:45","agree","male","20","Dhanusa","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Likely","Likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Yes","90"
"2022/05/03 2:19:57 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","90"
"2022/05/03 2:32:39 PM GMT+5:45","agree","Female","20","Lalitpur","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Strongly Agree","Agree","Agree","Agree","Yes","9"
"2022/05/03 2:59:49 PM GMT+5:45","agree","Female","20","Lalitpur","Bachelor","Student","7 months to 12 months","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Likely","Likely","Likely","Likely","Agree","Agree","Neutral","Agree","Yes","80"
"2022/05/03 2:59:57 PM GMT+5:45","agree","Female","19","Kathmandu","Bachelor","Student","Less than 3 months","Neutral","Somewhat agree","Neutral","Somewhat disagree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Neutral","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Disagree","No","70"
"2022/05/03 3:07:18 PM GMT+5:45","agree","male","19","Siraha","Bachelor","Student","7 months to 12 months","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Neutral","Agree","Neutral","Agree","Yes","99"
"2022/05/03 4:42:44 PM GMT+5:45","agree","Female","19","Kathmandu","Bachelor","Student","Less than 3 months","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Agree","Agree","Agree","Strongly Disagree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Likely","Likely","Somewhat likely","Agree","Agree","Agree","Agree","Yes","50"
"2022/05/03 4:57:27 PM GMT+5:45","agree","Female","27","Kathmandu","Masters and above","Service","2 years more","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Very likely","Likely","Very likely","Likely","Strongly Agree","Agree","Agree","Strongly Agree","Yes","80"
"2022/05/03 6:18:33 PM GMT+5:45","agree","Female","22","Kathmandu","Bachelor","Student","2 years more","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Neutral","Likely","Somewhat likely","Likely","Very likely","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Yes","80"
